"month","day","hour","week","alloc_1","alloc_2"
2,5,13,TRUE,0.418322076558589,0.581677923441411
2,5,14,TRUE,0.0578413783997583,0.942158621600242
2,5,15,TRUE,0.0518391356033459,0.948160864396654
2,5,16,TRUE,0.169155447601378,0.830844552398622
2,5,17,TRUE,0.00103391160275953,0.99896608839724
2,5,18,TRUE,0,0
2,5,19,TRUE,0,0
2,5,20,TRUE,0,0
2,5,21,TRUE,0,0
2,5,22,TRUE,0,0
2,5,23,TRUE,0,0
2,6,0,TRUE,0,0
2,6,1,TRUE,0,0
2,6,2,TRUE,0,0
2,6,3,TRUE,0,0
2,6,4,TRUE,0,0
2,6,5,TRUE,0,0
2,6,6,TRUE,0,0
2,6,7,TRUE,0,0
2,6,8,TRUE,0.0664403256592459,0.933559674340754
2,6,9,TRUE,0.0787685696102062,0.921231430389794
2,6,10,TRUE,0.259049799184121,0.740950200815879
2,6,11,TRUE,0.034647664590772,0.965352335409228
2,6,12,TRUE,0.261602902071244,0.738397097928756
2,6,13,TRUE,0.418322076558589,0.581677923441411
2,6,14,TRUE,0.0578413783997583,0.942158621600242
2,6,15,TRUE,0.0518391356033459,0.948160864396654
2,6,16,TRUE,0.169155447601378,0.830844552398622
2,6,17,TRUE,0.00103391160275953,0.99896608839724
2,6,18,TRUE,0,0
2,6,19,TRUE,0,0
2,6,20,TRUE,0,0
2,6,21,TRUE,0,0
2,6,22,TRUE,0,0
2,6,23,TRUE,0,0
2,7,0,TRUE,0,0
2,7,1,TRUE,0,0
2,7,2,TRUE,0,0
2,7,3,TRUE,0,0
2,7,4,TRUE,0,0
2,7,5,TRUE,0,0
2,7,6,TRUE,0,0
2,7,7,TRUE,0,0
2,7,8,TRUE,0.0664403256592459,0.933559674340754
2,7,9,TRUE,0.0787685696102062,0.921231430389794
2,7,10,TRUE,0.259049799184121,0.740950200815879
2,7,11,TRUE,0.034647664590772,0.965352335409228
2,7,12,TRUE,0.261602902071244,0.738397097928756
2,7,13,TRUE,0.418322076558589,0.581677923441411
2,7,14,TRUE,0.0578413783997583,0.942158621600242
2,7,15,TRUE,0.0518391356033459,0.948160864396654
2,7,16,TRUE,0.169155447601378,0.830844552398622
2,7,17,TRUE,0.00103391160275953,0.99896608839724
2,7,18,TRUE,0,0
2,7,19,TRUE,0,0
2,7,20,TRUE,0,0
2,7,21,TRUE,0,0
2,7,22,TRUE,0,0
2,7,23,TRUE,0,0
2,8,0,FALSE,0,0
2,8,1,FALSE,0,0
2,8,2,FALSE,0,0
2,8,3,FALSE,0,0
2,8,4,FALSE,0,0
2,8,5,FALSE,0,0
2,8,6,FALSE,0,0
2,8,7,FALSE,0,0
2,8,8,FALSE,0.0761625882138366,0.923837411786163
2,8,9,FALSE,0.2294513733888,0.7705486266112
2,8,10,FALSE,0.00588962627753796,0.994110373722462
2,8,11,FALSE,0.373374599398299,0.626625400601701
2,8,12,FALSE,0.252654688085366,0.747345311914634
2,8,13,FALSE,0.00637772776543659,0.993622272234563
2,8,14,FALSE,0.0382185896969237,0.961781410303076
2,8,15,FALSE,0.172231519261051,0.827768480738949
2,8,16,FALSE,0.178629921033209,0.821370078966791
2,8,17,FALSE,0.549364510139237,0.450635489860763
2,8,18,FALSE,0,0
2,8,19,FALSE,0,0
2,8,20,FALSE,0,0
2,8,21,FALSE,0,0
2,8,22,FALSE,0,0
2,8,23,FALSE,0,0
2,9,0,FALSE,0,0
2,9,1,FALSE,0,0
2,9,2,FALSE,0,0
2,9,3,FALSE,0,0
2,9,4,FALSE,0,0
2,9,5,FALSE,0,0
2,9,6,FALSE,0,0
2,9,7,FALSE,0,0
2,9,8,FALSE,0.0761625882138366,0.923837411786163
2,9,9,FALSE,0.2294513733888,0.7705486266112
2,9,10,FALSE,0.00588962627753796,0.994110373722462
2,9,11,FALSE,0.373374599398299,0.626625400601701
2,9,12,FALSE,0.252654688085366,0.747345311914634
2,9,13,FALSE,0.00637772776543659,0.993622272234563
2,9,14,FALSE,0.0382185896969237,0.961781410303076
2,9,15,FALSE,0.172231519261051,0.827768480738949
2,9,16,FALSE,0.178629921033209,0.821370078966791
2,9,17,FALSE,0.549364510139237,0.450635489860763
2,9,18,FALSE,0,0
2,9,19,FALSE,0,0
2,9,20,FALSE,0,0
2,9,21,FALSE,0,0
2,9,22,FALSE,0,0
2,9,23,FALSE,0,0
2,10,0,TRUE,0,0
2,10,1,TRUE,0,0
2,10,2,TRUE,0,0
2,10,3,TRUE,0,0
2,10,4,TRUE,0,0
2,10,5,TRUE,0,0
2,10,6,TRUE,0,0
2,10,7,TRUE,0,0
2,10,8,TRUE,0.0664403256592459,0.933559674340754
2,10,9,TRUE,0.0787685696102062,0.921231430389794
2,10,10,TRUE,0.259049799184121,0.740950200815879
2,10,11,TRUE,0.034647664590772,0.965352335409228
2,10,12,TRUE,0.261602902071244,0.738397097928756
2,10,13,TRUE,0.418322076558589,0.581677923441411
2,10,14,TRUE,0.0578413783997583,0.942158621600242
2,10,15,TRUE,0.0518391356033459,0.948160864396654
2,10,16,TRUE,0.169155447601378,0.830844552398622
2,10,17,TRUE,0.00103391160275953,0.99896608839724
2,10,18,TRUE,0,0
2,10,19,TRUE,0,0
2,10,20,TRUE,0,0
2,10,21,TRUE,0,0
2,10,22,TRUE,0,0
2,10,23,TRUE,0,0
2,11,0,TRUE,0,0
2,11,1,TRUE,0,0
2,11,2,TRUE,0,0
2,11,3,TRUE,0,0
2,11,4,TRUE,0,0
2,11,5,TRUE,0,0
2,11,6,TRUE,0,0
2,11,7,TRUE,0,0
2,11,8,TRUE,0.0664403256592459,0.933559674340754
2,11,9,TRUE,0.0787685696102062,0.921231430389794
2,11,10,TRUE,0.259049799184121,0.740950200815879
2,11,11,TRUE,0.034647664590772,0.965352335409228
2,11,12,TRUE,0.261602902071244,0.738397097928756
2,11,13,TRUE,0.418322076558589,0.581677923441411
2,11,14,TRUE,0.0578413783997583,0.942158621600242
2,11,15,TRUE,0.0518391356033459,0.948160864396654
2,11,16,TRUE,0.169155447601378,0.830844552398622
2,11,17,TRUE,0.00103391160275953,0.99896608839724
2,11,18,TRUE,0,0
2,11,19,TRUE,0,0
2,11,20,TRUE,0,0
2,11,21,TRUE,0,0
2,11,22,TRUE,0,0
2,11,23,TRUE,0,0
2,12,0,TRUE,0,0
2,12,1,TRUE,0,0
2,12,2,TRUE,0,0
2,12,3,TRUE,0,0
2,12,4,TRUE,0,0
2,12,5,TRUE,0,0
